,GENENAME,GENEID,PROTEINID,TXBIOTYPE,chemical,protein,experimental,prediction,database,textmining,combined_score,CIDs,Source,ID,pref_name,max_phase,molecule_type,first_approval,mechanism_of_action,action_type,synonyms
953,STAT3,ENSG00000168610,ENSP00000264657,protein_coding,CIDm00041317,9606.ENSP00000264657,0,0,800,0,800,CIDs05284513,ChEMBL,CHEMBL1131,ACITRETIN,4,Small molecule,1996,Retinoid receptor agonist,AGONIST,Acitretin | Etretin | RO 10-1670 | RO 10-1670/000 | RO-101670000 | Neotigason | Soriatane
954,STAT3,ENSG00000168610,ENSP00000264657,protein_coding,CIDm00005352,9606.ENSP00000264657,0,0,700,120,728,CIDs01548886,ChEMBL,CHEMBL15770,SULINDAC,4,Small molecule,1978,Cyclooxygenase inhibitor,INHIBITOR,Sulindac | MK-231 | Clinoril
955,STAT3,ENSG00000168610,ENSP00000264657,protein_coding,CIDm00005076,9606.ENSP00000264657,0,0,700,0,700,CIDs00392622,ChEMBL,CHEMBL163,RITONAVIR,4,Small molecule,1996,Human immunodeficiency virus type 1 protease inhibitor,INHIBITOR,Ritonavir | ABBOTT-84538 | Norvir | A-84538 | ABT-538 | NSC-693184 | Ritonavir related compounds mixture
956,STAT3,ENSG00000168610,ENSP00000264657,protein_coding,CIDm00005076,9606.ENSP00000264657,0,0,700,0,700,CIDs00392622,ChEMBL,CHEMBL163,RITONAVIR,4,Small molecule,1996,Cytochrome P450 3A inhibitor,INHIBITOR,Ritonavir | ABBOTT-84538 | Norvir | A-84538 | ABT-538 | NSC-693184 | Ritonavir related compounds mixture
957,STAT3,ENSG00000168610,ENSP00000264657,protein_coding,CIDm00004666,9606.ENSP00000264657,0,0,700,881,963,CIDs00036314,ChEMBL,CHEMBL428647,PACLITAXEL,4,Small molecule,1992,Tubulin inhibitor,INHIBITOR,Paclitaxel | Taxol | ABI-007 | ABI-007 COMPONENT PACLITAXEL | BMS 181339-01 | BMS-181339-01 | DHP 107 | DHP-107 | MBT 0206 | MBT-0206 | NK 105 | NK-105 | NSC-125973 | QW-8184 | Abraxane | Pacitaxel | Paxene | Taxol 100
958,STAT3,ENSG00000168610,ENSP00000264657,protein_coding,CIDm00004534,9606.ENSP00000264657,0,0,700,0,700,CIDs00071398,ChEMBL,CHEMBL313972,MASOPROCOL,4,Small molecule,1992,Unknown,NA,Masoprocol | Nordihydroguaiaretic acid | Meso-nordihydroguaiaretic acid | CHX-100 | INSM-18 | MESO-NDGA | NSC-4291 | NSC-682984 | Actinex
959,STAT3,ENSG00000168610,ENSP00000264657,protein_coding,CIDm00004477,9606.ENSP00000264657,412,0,700,836,969,CIDs00004477,ChEMBL,CHEMBL1448,NICLOSAMIDE,4,Small molecule,1982,DNA inhibitor,INHIBITOR,Niclosamide | BAY 2353 | BAY-2353 | NSC-178296 | WR 46234 | Ex A Lint | Lintex | Niclocide | Nicloside | Yomesan
960,STAT3,ENSG00000168610,ENSP00000264657,protein_coding,CIDm00003461,9606.ENSP00000264657,0,0,700,319,789,CIDs00060749,ChEMBL,CHEMBL1637,GEMCITABINE HYDROCHLORIDE,4,Small molecule,1996,Ribonucleoside-diphosphate reductase RR1 inhibitor,INHIBITOR,Gemcitabine hydrochloride | Gemzar | LY-188011 | LY-188011 HYDROCHLORIDE | LY188011 HYDROCHLORIDE | Infugem
961,STAT3,ENSG00000168610,ENSP00000264657,protein_coding,CIDm00003461,9606.ENSP00000264657,0,0,700,319,789,CIDs00060749,ChEMBL,CHEMBL1637,GEMCITABINE HYDROCHLORIDE,4,Small molecule,1996,DNA polymerase (alpha/delta/epsilon) inhibitor,INHIBITOR,Gemcitabine hydrochloride | Gemzar | LY-188011 | LY-188011 HYDROCHLORIDE | LY188011 HYDROCHLORIDE | Infugem
962,STAT3,ENSG00000168610,ENSP00000264657,protein_coding,CIDm00003385,9606.ENSP00000264657,0,0,700,211,756,CIDs00003385,ChEMBL,CHEMBL185,FLUOROURACIL,4,Small molecule,1962,Thymidylate synthase inhibitor,INHIBITOR,Fluorouracil | 5-Fluorouracil | 5-FU | Fluracil | 5 FU | NSC-19893 | RO 2-9757 | RO-2-9757 | RO-29757 | 5.f.u. | Accusite | Actikerall | Adrucil | Carac | Efudex | Efudix | Fluoro-uracil roche | Fluoroplex | Tolak
963,STAT3,ENSG00000168610,ENSP00000264657,protein_coding,CIDm00003385,9606.ENSP00000264657,0,0,700,211,756,CIDs00003385,ChEMBL,CHEMBL185,FLUOROURACIL,4,Small molecule,1962,DNA inhibitor,INHIBITOR,Fluorouracil | 5-Fluorouracil | 5-FU | Fluracil | 5 FU | NSC-19893 | RO 2-9757 | RO-2-9757 | RO-29757 | 5.f.u. | Accusite | Actikerall | Adrucil | Carac | Efudex | Efudix | Fluoro-uracil roche | Fluoroplex | Tolak
964,STAT3,ENSG00000168610,ENSP00000264657,protein_coding,CIDm00003385,9606.ENSP00000264657,0,0,700,211,756,CIDs00003385,ChEMBL,CHEMBL185,FLUOROURACIL,4,Small molecule,1962,RNA inhibitor,INHIBITOR,Fluorouracil | 5-Fluorouracil | 5-FU | Fluracil | 5 FU | NSC-19893 | RO 2-9757 | RO-2-9757 | RO-29757 | 5.f.u. | Accusite | Actikerall | Adrucil | Carac | Efudex | Efudix | Fluoro-uracil roche | Fluoroplex | Tolak
965,STAT3,ENSG00000168610,ENSP00000264657,protein_coding,CIDm00002978,9606.ENSP00000264657,0,0,700,0,700,CIDs00016078,ChEMBL,CHEMBL465,DRONABINOL,4,Small molecule,1985,Cannabinoid CB1 receptor agonist,AGONIST,Dronabinol | Tetrahydrocannabinols (-)-trans-.delta.9-form | Delta-9-tetrahydrocannabinol | Delta-9-thc | ABBOTT 40566 | ABBOTT-40566 | J882F | NSC-134454 | QCD 84924 | QCD-84924 | SP 104 | SP-104 | Marinol | Syndros
966,STAT3,ENSG00000168610,ENSP00000264657,protein_coding,CIDm00002548,9606.ENSP00000264657,0,0,700,106,723,CIDs01548943,ChEMBL,CHEMBL294199,CAPSAICIN,4,Small molecule,2009,Vanilloid receptor opener,OPENER,Capsaicin | Ngx-1998 | ALGRX 4975 | ALGRX-4975 | FEMA NO. 3404 | NGX-1998 | NGX-4010 | NSC-56353 | Qutenza | Zacin | Zostrix | Zostrix hp
967,STAT3,ENSG00000168610,ENSP00000264657,protein_coding,CIDm00002548,9606.ENSP00000264657,0,0,700,106,723,CIDs01548942,ChEMBL,CHEMBL313971,ZUCAPSAICIN,3,Small molecule,NA,Vanilloid receptor agonist,AGONIST,Zucapsaicin
968,STAT3,ENSG00000168610,ENSP00000264657,protein_coding,CIDm00001546,9606.ENSP00000264657,0,0,700,0,700,CIDs00020279,ChEMBL,CHEMBL1619,CLADRIBINE,4,Small molecule,1993,DNA inhibitor,INHIBITOR,Cladribine | Cladaribine | Leustatin | NSC-05014 | NSC-105014 | NSC-105014-F | RWJ 26251 | RWJ-26251 | Leustat | Litak | Mavenclad
969,STAT3,ENSG00000168610,ENSP00000264657,protein_coding,CIDm00000942,9606.ENSP00000264657,0,0,700,146,736,CIDs00089594,ChEMBL,CHEMBL3,NICOTINE,4,Small molecule,1984,Neuronal acetylcholine receptor; alpha4/beta2 agonist,AGONIST,Nicotine | Habitrol | Nicabate | Nicoderm | Nicoderm cq | Nicopass | Nicopatch | Nicorette invisi | Nicotinell classic | Nicotinell support | Nicotinell tts 10 | Nicotinell tts 20 | Nicotinell tts 30 | Nicotrol | Nicotrol Inhaler | Nicotrol NS | Niquitin | Niquitin clr | Niquitin minis cherry | Niquitin minis mint | Niquitin minis orange | Niquitin mint | Niquitin pre-quit | Niquitin strips mint | Prostep | Stoppers | Stubit
970,STAT3,ENSG00000168610,ENSP00000264657,protein_coding,CIDm00000450,9606.ENSP00000264657,0,0,700,239,764,CIDs00005757,ChEMBL,CHEMBL135,ESTRADIOL,4,Small molecule,1975,Estrogen receptor alpha agonist,AGONIST,Estradiol | Estradiol hemihydrate | Agofollin | Alfatradiol | Depo-Estradiol | Destradiol | Dihydrotheelin | Dihydroxyestrin | Estrasorb | Gynergon | Gynoestryl | Oestradiol | NSC-20293 | NSC-9895 | WC-3011 | WC3011 | Adgyn estro | Alora | Aquagen | Bedol | Climara | Climara Pro | Dermestril 100 | Dermestril 25 | Dermestril 50 | Dermestril septem 25 | Dermestril septem 50 | Dermestril septem 75 | Divigel | E-Cypionate | Elestrim | Elestrin | Elleste solo | Elleste solo mx 40 | Elleste solo mx 80 | Esclim | Estrace | Estraderm | Estraderm mx 100 | Estraderm mx 25 | Estraderm mx 50 | Estraderm mx 75 | Estraderm tts 100 | Estraderm tts 25 | Estraderm tts 50 | Estring | Estrogel | Evamist | Evorel 100 | Evorel 25 | Evorel 50 | Evorel 75 | Fematrix 40 | Fematrix 80 | Fempatch | Femseven 100 | Femseven 50 | Femseven 75 | Gvnodiol | Gynodiol | Gynogen | Imvexxy | Innofem | Menorest 37.5 | Menorest 50 | Menorest 75 | Menoring 50 | Menostar | Minivelle | Progynova ts | Sandrena | Vagifem | Vagifem 18 | Vagifem 8 | Vivelle | Vivelle-dot | Zumenon
971,STAT3,ENSG00000168610,ENSP00000264657,protein_coding,CIDm00000303,9606.ENSP00000264657,0,0,700,106,723,CIDs00221493,ChEMBL,CHEMBL205596,CHOLIC ACID,4,Small molecule,2015,Unknown,NA,Cholic acid | E1000 | Cholic Acid | NSC-6135 | Cholbam | Kolbam | Orphacol
972,PRKCD,ENSG00000163932,ENSP00000331602,protein_coding,CIDm06918670,9606.ENSP00000331602,715,0,800,157,949,CIDs06918670,ChEMBL,CHEMBL1863513,INGENOL MEBUTATE,4,Small molecule,2010,Unknown,NA,Ingenol mebutate | AGN 204332 | PEP-005 | PEP005 | Picato
973,PRKCD,ENSG00000163932,ENSP00000331602,protein_coding,CIDm00063062,9606.ENSP00000331602,0,0,700,289,780,CIDs00449459,ChEMBL,CHEMBL489,AFIMOXIFENE,3,Small molecule,NA,Estrogen receptor modulator,MODULATOR,4-Hydroxytamoxifen | Afimoxifene | 4-OHT | Tamogel
974,PRKCD,ENSG00000163932,ENSP00000331602,protein_coding,CIDm00063062,9606.ENSP00000331602,0,0,700,289,780,CIDs00449459,ChEMBL,CHEMBL489,AFIMOXIFENE,3,Small molecule,NA,Estrogen-related receptor gamma antagonist,ANTAGONIST,4-Hydroxytamoxifen | Afimoxifene | 4-OHT | Tamogel
975,PRKCD,ENSG00000163932,ENSP00000331602,protein_coding,CIDm00005645,9606.ENSP00000331602,0,0,700,0,700,CIDs00031401,ChEMBL,CHEMBL1551,URSODIOL,4,Small molecule,1987,Bile acid receptor FXR agonist,AGONIST,Ursodeoxycholic acid | Ursodiol | Ursodesoxycholic acid | Ursonorm | NSC-683769 | Actigall | Cholurso | Destolit | Urdox | Urso | Urso 250 | Urso forte | Ursofalk | Ursogal
976,PRKCD,ENSG00000163932,ENSP00000331602,protein_coding,CIDm00005645,9606.ENSP00000331602,0,0,700,0,700,CIDs00010133,ChEMBL,CHEMBL240597,CHENODIOL,4,Small molecule,1983,Bile acid receptor FXR agonist,AGONIST,Chenodeoxycholic acid | Chenodiol | Chenic acid | Chenodeoxycholate | NSC-657949 | Chendol 125 | Chendol 250 | Chenix | Chenocedon | Chenofalk | Combidol | Lithofalk | Xenbilox
977,PRKCD,ENSG00000163932,ENSP00000331602,protein_coding,CIDm00003310,9606.ENSP00000331602,0,0,700,232,762,CIDs00036462,ChEMBL,CHEMBL44657,ETOPOSIDE,4,Small molecule,1983,DNA topoisomerase II inhibitor,INHIBITOR,Etoposide | NSC-141540 | VP-16-213 | Toposar | Vepesid | Etoposide resolution mixture
978,PRKCD,ENSG00000163932,ENSP00000331602,protein_coding,CIDm00002973,9606.ENSP00000331602,0,0,700,0,700,CIDs00002973,ChEMBL,CHEMBL1234,DEFEROXAMINE MESYLATE,4,Small molecule,1968,Iron chelating agent,CHELATING AGENT,Desferrioxamine mesilate | Deferoxamine mesylate | Deferoxamine mesilate | Deferoxamine methanesulfonate | BA-33112 | Desferal | Desferal Mesylate | Desferrioxamine Mesylate
979,PRKCD,ENSG00000163932,ENSP00000331602,protein_coding,CIDm00002958,9606.ENSP00000331602,0,63,700,0,710,CIDs00030323,ChEMBL,CHEMBL1200475,DAUNORUBICIN CITRATE,4,Small molecule,1996,DNA topoisomerase II alpha inhibitor,INHIBITOR,Daunorubicin citrate | Daunoxome
980,PRKCD,ENSG00000163932,ENSP00000331602,protein_coding,CIDm00002958,9606.ENSP00000331602,0,63,700,0,710,CIDs00030323,ChEMBL,CHEMBL1200475,DAUNORUBICIN CITRATE,4,Small molecule,1996,DNA inhibitor,INHIBITOR,Daunorubicin citrate | Daunoxome
981,PRKCD,ENSG00000163932,ENSP00000331602,protein_coding,CIDm00002958,9606.ENSP00000331602,0,63,700,0,710,CIDs00030323,ChEMBL,CHEMBL1563,DAUNORUBICIN HYDROCHLORIDE,4,Small molecule,1979,DNA topoisomerase II alpha inhibitor,INHIBITOR,Daunorubicin hydrochloride | FI 6339 HYDROCHLORIDE | FI 6339 [AS THE BASE] | FI-6339 | FI-6339 HYDROCHLORIDE | NDC 0082-4155 | NDC-0082-4155 | NSC-82151 | RP 13057 HYDROCHLORIDE | RP 13057 [AS THE BASE) | RP-13057 | RP-13057 HYDROCHLORIDE | Cerubidine | Daunoxome
982,PRKCD,ENSG00000163932,ENSP00000331602,protein_coding,CIDm00002958,9606.ENSP00000331602,0,63,700,0,710,CIDs00030323,ChEMBL,CHEMBL1563,DAUNORUBICIN HYDROCHLORIDE,4,Small molecule,1979,DNA inhibitor,INHIBITOR,Daunorubicin hydrochloride | FI 6339 HYDROCHLORIDE | FI 6339 [AS THE BASE] | FI-6339 | FI-6339 HYDROCHLORIDE | NDC 0082-4155 | NDC-0082-4155 | NSC-82151 | RP 13057 HYDROCHLORIDE | RP 13057 [AS THE BASE) | RP-13057 | RP-13057 HYDROCHLORIDE | Cerubidine | Daunoxome
983,PRKCD,ENSG00000163932,ENSP00000331602,protein_coding,CIDm00002958,9606.ENSP00000331602,0,63,700,0,710,CIDs00030323,ChEMBL,CHEMBL178,DAUNORUBICIN,4,Small molecule,1979,DNA inhibitor,INHIBITOR,Daunorubicin | Cerubidine | Daunoxome | FI 6339 | FI-6339 | NSC-83142 | RP 13057 | RP-13057 | Epirubicin hydrochloride impurity, daunorubicin- | Valrubicin impurity, daunorubicin
984,PRKCD,ENSG00000163932,ENSP00000331602,protein_coding,CIDm00002958,9606.ENSP00000331602,0,63,700,0,710,CIDs00030323,ChEMBL,CHEMBL178,DAUNORUBICIN,4,Small molecule,1979,DNA topoisomerase II alpha inhibitor,INHIBITOR,Daunorubicin | Cerubidine | Daunoxome | FI 6339 | FI-6339 | NSC-83142 | RP 13057 | RP-13057 | Epirubicin hydrochloride impurity, daunorubicin- | Valrubicin impurity, daunorubicin
985,PRKCD,ENSG00000163932,ENSP00000331602,protein_coding,CIDm00002244,9606.ENSP00000331602,0,0,700,148,736,CIDs00002244,ChEMBL,CHEMBL25,ASPIRIN,4,Small molecule,1950,Cyclooxygenase inhibitor,INHIBITOR,Acetylsalicylic acid | Aspirin | Acetylsalicylic Acid | BAY1019036 | NSC-27223 | NSC-406186 | 8-hour bayer | Acetosalic Acid | Acetylsalic acid | Alka rapid | Anadin all night | Angettes 75 | Aspro clr | Bayer extra strength aspirin for migraine pain | Danamep | Disprin cv | Disprin direct | Durlaza | Ecotrin | Enprin | Equi-Prin | Gencardia | Levius | Max strgh aspro clr | Measurin | Micropirin ec | Nu-seals 300 | Nu-seals 600 | Nu-seals 75 | Nu-seals cardio 75 | Paynocil | Platet | Platet 300 | Postmi 300 | Postmi 75 | Salicylic Acid Acetate | Vazalore
986,PRKCD,ENSG00000163932,ENSP00000331602,protein_coding,CIDm00001690,9606.ENSP00000331602,0,66,700,118,738,CIDs00031703,ChEMBL,CHEMBL359744,DOXORUBICIN HYDROCHLORIDE,4,Small molecule,1974,DNA topoisomerase II alpha inhibitor,INHIBITOR,Doxorubicin hydrochloride | Doxorubicin liposomal complex of the hydrochloride | Liposomal doxorubicin hydrochloride | Adriamycin | Adriamycin pfs | Adriamycin Rdf | Caelyx | Doxil | Doxil (liposomal) | Doxorubicin hydrochloride (liposomal) | Myocet | Rubex | Doxorubicin HCl
987,PRKCD,ENSG00000163932,ENSP00000331602,protein_coding,CIDm00001690,9606.ENSP00000331602,0,66,700,118,738,CIDs00031703,ChEMBL,CHEMBL359744,DOXORUBICIN HYDROCHLORIDE,4,Small molecule,1974,DNA inhibitor,INHIBITOR,Doxorubicin hydrochloride | Doxorubicin liposomal complex of the hydrochloride | Liposomal doxorubicin hydrochloride | Adriamycin | Adriamycin pfs | Adriamycin Rdf | Caelyx | Doxil | Doxil (liposomal) | Doxorubicin hydrochloride (liposomal) | Myocet | Rubex | Doxorubicin HCl
988,TRIM33,ENSG00000197323,ENSP00000351250,protein_coding,CIDm00000224,9606.ENSP00000351250,0,0,800,329,861,CIDs00006083,ChEMBL,CHEMBL752,ADENOSINE PHOSPHATE,4,Small molecule,NA,Unknown,NA,Adenosine phosphate | 5'-adenylic acid | Adenosine Monophosphate | Vitamin b8 | A 5MP | A-5MP | NSC-20264 | Adenyl | My-b-den
989,JUND,ENSG00000130522,ENSP00000252818,protein_coding,CIDm00002978,9606.ENSP00000252818,0,0,700,0,700,CIDs00016078,ChEMBL,CHEMBL465,DRONABINOL,4,Small molecule,1985,Cannabinoid CB1 receptor agonist,AGONIST,Dronabinol | Tetrahydrocannabinols (-)-trans-.delta.9-form | Delta-9-tetrahydrocannabinol | Delta-9-thc | ABBOTT 40566 | ABBOTT-40566 | J882F | NSC-134454 | QCD 84924 | QCD-84924 | SP 104 | SP-104 | Marinol | Syndros
990,FOSB,ENSG00000125740,ENSP00000245919,protein_coding,CIDm00000836,9606.ENSP00000245919,0,0,900,432,941,CIDs00006047,ChEMBL,CHEMBL1009,LEVODOPA,4,Small molecule,1970,Dopamine D3 receptor agonist,AGONIST,Levodopa | Bendopa | NSC-118381 | V-1512 | Brocadopa | Dopar | Inbrija | Larodopa
991,SMAD2,ENSG00000175387,ENSP00000262160,protein_coding,CIDm00108143,9606.ENSP00000262160,0,0,700,0,700,CIDs00108143,ChEMBL,CHEMBL25202,TAMIBAROTENE,2,Small molecule,NA,Retinoic acid receptor beta agonist,AGONIST,Tamibarotene | AM-80 | AM80 | NSC-608000
992,SMAD2,ENSG00000175387,ENSP00000262160,protein_coding,CIDm00108143,9606.ENSP00000262160,0,0,700,0,700,CIDs00108143,ChEMBL,CHEMBL25202,TAMIBAROTENE,2,Small molecule,NA,Retinoic acid receptor alpha agonist,AGONIST,Tamibarotene | AM-80 | AM80 | NSC-608000
993,SMAD2,ENSG00000175387,ENSP00000262160,protein_coding,CIDm00005538,9606.ENSP00000262160,0,0,700,370,805,CIDs00444795,ChEMBL,CHEMBL38,TRETINOIN,4,Small molecule,1971,Retinoic acid receptor agonist,AGONIST,Tretinoin | Retinoic acid | NSC-122758 | Acticin | Altreno | Atralin | Avita | Renova | Retin-a | Retin-a micro | Retin-a-micro | Tretin-X | Vesanoid
994,SMAD2,ENSG00000175387,ENSP00000262160,protein_coding,CIDm00005538,9606.ENSP00000262160,0,0,700,370,805,CIDs05282379,ChEMBL,CHEMBL547,ISOTRETINOIN,4,Small molecule,1982,Retinoic acid receptor agonist,AGONIST,Isotretinoin | Retinoic acid 13-cis-form | 13 Cis-Retinoic Acid | PAT-001 | RO 4-3780 | RO-4-3780 | RO-43780 | Absorica | Absorica ld | Accutane | Amnesteem | Claravis | Isotrex | Myorisan | Roaccutane | Sotret | Zenatane
995,SMAD2,ENSG00000175387,ENSP00000262160,protein_coding,CIDm00005538,9606.ENSP00000262160,0,0,700,370,805,CIDs00449171,ChEMBL,CHEMBL705,ALITRETINOIN,4,Small molecule,1999,Retinoid receptor agonist,AGONIST,Alitretinoin | Retinoic acid 9-cis-form | Panretin | AGN 192013 | AGN-192013 | ALRT-1057 | ALRT1057 | BAL-4079 | LG-100057 | LG100057 | LGD-1057 | LGD1057 | NSC-659772 | Toctino
996,SMAD2,ENSG00000175387,ENSP00000262160,protein_coding,CIDm00005376,9606.ENSP00000262160,0,0,700,121,728,CIDs02733525,ChEMBL,CHEMBL786,TAMOXIFEN CITRATE,4,Small molecule,1977,Estrogen receptor alpha modulator,MODULATOR,Tamoxifen citrate | I.C.I.46474 CITRATE | ICI 46,474 | ICI-46474 | Emblon | Fentamox 10 | Fentamox 20 | Kentadex | Kessar | Kessar 10 | Kessar 20 | Noltam | Nolvadex | Nolvadex d | Nolvadex fte | Oestrifen-10 | Oestrifen-20 | Oestrifen-40 | Soltamox | Tamofen | Zynoplex
997,SMAD2,ENSG00000175387,ENSP00000262160,protein_coding,CIDm00004053,9606.ENSP00000262160,0,0,700,117,727,CIDs00460612,ChEMBL,CHEMBL1200863,MELPHALAN HYDROCHLORIDE,4,Small molecule,1992,DNA inhibitor,INHIBITOR,Melphalan hydrochloride | CB 3025 HYDROCHLORIDE | CB-3025 HYDROCHLORIDE | Alkeran | Evomela
998,SMAD2,ENSG00000175387,ENSP00000262160,protein_coding,CIDm00004053,9606.ENSP00000262160,0,0,700,117,727,CIDs00460612,ChEMBL,CHEMBL852,MELPHALAN,4,Small molecule,1964,DNA inhibitor,INHIBITOR,Melphalan | Alanine nitrogen mustard | L-sarcolysin | Melfalan | Phenylalanine mustard | CB 3025 | CB-3025 | NCI-C04853 | NSC-241286 | NSC-8806 | SK 15673 | SK-15673 | Aikeran | Alkeran
999,SMAD2,ENSG00000175387,ENSP00000262160,protein_coding,CIDm00003310,9606.ENSP00000262160,0,0,700,0,700,CIDs00036462,ChEMBL,CHEMBL44657,ETOPOSIDE,4,Small molecule,1983,DNA topoisomerase II inhibitor,INHIBITOR,Etoposide | NSC-141540 | VP-16-213 | Toposar | Vepesid | Etoposide resolution mixture
1000,SMAD2,ENSG00000175387,ENSP00000262160,protein_coding,CIDm00000784,9606.ENSP00000262160,0,0,700,782,933,CIDs00000784,ChEMBL,CHEMBL71595,HYDROGEN PEROXIDE,4,Small molecule,2017,Unknown,NA,Hydrogen peroxide | Hydrogen Peroxide | Oxydol | A-101 | NSC-19892 | Crystacide | Eskata | Hioxyl | Peroxyl
1001,WWTR1,ENSG00000018408,ENSP00000353847,protein_coding,CIDm00003209,9606.ENSP00000353847,0,0,900,0,900,CIDs00446284,ChEMBL,CHEMBL460026,ICOSAPENT,3,Small molecule,NA,Unknown,NA,Omega-3 marine triglycerides | Icosapent | Eicosapentaenoic acid | EPA 45G
1002,GTF2F1,ENSG00000125651,ENSP00000377969,protein_coding,CIDm00003054,9606.ENSP00000377969,0,0,900,0,900,CIDs00448537,ChEMBL,CHEMBL411,DIETHYLSTILBESTROL,4,Small molecule,1973,Estrogen receptor alpha agonist,AGONIST,Diethylstilbestrol | Cyren a | Estrobene | Estrogenine | Estromenin | Fonatol | New-estranol 1 | Palestrol | Stilbestroform | Stilbestrol | Stilboestrol | Synestrin | Synthestrin | NSC-3070 | Apstil | Distilbene | Stilbetin | Stilboesterol | Tampovagan
1003,GTF2E1,ENSG00000153767,ENSP00000283875,protein_coding,CIDm00003054,9606.ENSP00000283875,0,0,900,0,900,CIDs00448537,ChEMBL,CHEMBL411,DIETHYLSTILBESTROL,4,Small molecule,1973,Estrogen receptor alpha agonist,AGONIST,Diethylstilbestrol | Cyren a | Estrobene | Estrogenine | Estromenin | Fonatol | New-estranol 1 | Palestrol | Stilbestroform | Stilbestrol | Stilboestrol | Synestrin | Synthestrin | NSC-3070 | Apstil | Distilbene | Stilbetin | Stilboesterol | Tampovagan
1004,GTF2H1,ENSG00000110768,ENSP00000265963,protein_coding,CIDm00005978,9606.ENSP00000265963,0,0,700,107,724,CIDs00005978,ChEMBL,CHEMBL501867,VINCRISTINE SULFATE,4,Small molecule,1963,Tubulin inhibitor,INHIBITOR,Vincristine sulfate | 37231 | LILLY-37231 | NSC-67574 | Kyocristine | Leurocristine Sulfate | Marqibo kit | Oncovin | Vincasar | Vincasar pfs | Vincrex | Vincristine sulfate pfs
1005,ERCC3,ENSG00000163161,ENSP00000285398,protein_coding,CIDm00093860,9606.ENSP00000285398,0,0,700,0,700,CIDs00387447,ChEMBL,CHEMBL325041,BORTEZOMIB,4,Small molecule,2003,26S proteosome inhibitor,INHIBITOR,Bortezomib | Bortezomib hydrate | Velcade | LDP-341 | NSC-681239 | PS-341
1006,NFKBIE,ENSG00000146232,ENSP00000275015,protein_coding,CIDm00093860,9606.ENSP00000275015,0,0,700,105,723,CIDs00387447,ChEMBL,CHEMBL325041,BORTEZOMIB,4,Small molecule,2003,26S proteosome inhibitor,INHIBITOR,Bortezomib | Bortezomib hydrate | Velcade | LDP-341 | NSC-681239 | PS-341
1007,NFKBIA,ENSG00000100906,ENSP00000216797,protein_coding,CIDm05353980,9606.ENSP00000216797,0,0,900,151,912,CIDs05353980,ChEMBL,CHEMBL421,SULFASALAZINE,4,Small molecule,1950,Arachidonate 5-lipoxygenase inhibitor,INHIBITOR,Sulfasalazine | Salazosulfapyridine | Azulfidine | Salicylazosulfapyridine | Sulphasalazine | NSC-203730 | NSC-667219 | SAS-500 | Azulfidine EN | Azulfidine en-tabs | Colizine | S.a.s. | S.a.s.-500 | Salazopyrin | Salazopyrin e.c. | Salazopyrin-en | Ucine
1008,NFKBIA,ENSG00000100906,ENSP00000216797,protein_coding,CIDm05353980,9606.ENSP00000216797,0,0,900,151,912,CIDs05353980,ChEMBL,CHEMBL421,SULFASALAZINE,4,Small molecule,1950,Cyclooxygenase inhibitor,INHIBITOR,Sulfasalazine | Salazosulfapyridine | Azulfidine | Salicylazosulfapyridine | Sulphasalazine | NSC-203730 | NSC-667219 | SAS-500 | Azulfidine EN | Azulfidine en-tabs | Colizine | S.a.s. | S.a.s.-500 | Salazopyrin | Salazopyrin e.c. | Salazopyrin-en | Ucine
1009,NFKBIA,ENSG00000100906,ENSP00000216797,protein_coding,CIDm03000715,9606.ENSP00000216797,0,0,700,0,700,CIDs03000715,ChEMBL,CHEMBL738,THIOPENTAL SODIUM,4,Small molecule,1982,GABA-A receptor; anion channel positive allosteric modulator,POSITIVE ALLOSTERIC MODULATOR,Thiopental sodium | Thiomebumal sodium | Intraval | Intraval sod | Penthiobarbital | Pentothal | Thiomebumal | Thionembutal | Thiopentone | Trapanal | Thiopental Sodium
1010,NFKBIA,ENSG00000100906,ENSP00000216797,protein_coding,CIDm00093860,9606.ENSP00000216797,0,0,900,259,923,CIDs00387447,ChEMBL,CHEMBL325041,BORTEZOMIB,4,Small molecule,2003,26S proteosome inhibitor,INHIBITOR,Bortezomib | Bortezomib hydrate | Velcade | LDP-341 | NSC-681239 | PS-341
1011,NFKBIA,ENSG00000100906,ENSP00000216797,protein_coding,CIDm00077998,9606.ENSP00000216797,0,0,700,0,700,CIDs00077998,ChEMBL,CHEMBL843,ROSIGLITAZONE MALEATE,4,Small molecule,1999,Peroxisome proliferator-activated receptor gamma agonist,AGONIST,Rosiglitazone maleate | Avandia | BRL-49653 | BRL-49653-C | BRL-49653C
1012,NFKBIA,ENSG00000100906,ENSP00000216797,protein_coding,CIDm00054454,9606.ENSP00000216797,0,0,700,0,700,CIDs00054454,ChEMBL,CHEMBL1064,SIMVASTATIN,4,Small molecule,1991,HMG-CoA reductase inhibitor,INHIBITOR,Simvastatin | Simvastatin hydroxy acid | Synvinolin | C10AA01 | MK-0733 | MK-733 | Flolipid | Lacersa | Ranzolont | Simvador | Zocor | Zocor heart-pro
